    710-20TN	   17Lift 10-20 Tonnes	   17Lift 10-20 Tonnes	    0	   17Lift 10-20 Tonnes	          324	24-jul-2000 17:09:21     	                         	                         	    6he2441	    0	    0	    1A
    3TXS	   20<SpkDel>WEEKLY RATES	    6TONNES	    5WEEKS	    9TON/WEEKS	          292	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3TXT	   18<SpkDel>NIGHTS T/S	    6TONNES	    6NIGHTS	   10TON/NIGHTS	          293	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    3TXW	   21<PopsDel>WEEKLY RATES	    6TONNES	    5WEEKS	    9TON/WEEKS	          294	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4UNIT	    5Units	    5Units	    0	    5Units	          295	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4USED	    8Used Car	    8Used Car	    0	    8Used Car	          296	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3UXN	   17Nightly Unit Rate	    5Units	    6Nights	   11Unit/Nights	          344	31-jul-2000 12:23:27     	                         	                         	    6he2441	    0	    0	    1A

    1V	    6Visits	    5Visit	    0	    5Visit	          297	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3VEH	    8Vehicles	    8Vehicles	    0	    8Vehicles	          298	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3VST	   12Vessel Visit	    5Visit	    0	    5Visit	          299	10-nov-1999 15:32:50     	22-nov-1999 12:45:01     	                         	    4load	    6he2441	    0	    1A

    2WA	   14Waitemata Hire	   14Waitemata Hire	    0	   14Waitemata Hire	          300	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    3WAI	   12Waipapa Hire	   12Waipapa Hire	    0	   12Waipapa Hire	          316	15-mar-2000 15:36:08     	13-apr-2000 11:04:11     	                         	    6he2441	    6cr2772	    0	    1A

    3WCR	   20<PopsDel>MTHLY WAGES	    5MONTH	    0	    5MONTH	          301	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4WCRH	   21<PopsDel>WAGES 1/2MTH	    91/2 MONTH	    0	    91/2 MONTH	          302	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    4WEEK	    4Week	    4Week	    0	    4Week	          303	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

    4WKLY	   11WEEKLY RATE	    5UNITS	    5WEEKS	   11Units/Weeks	          304	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    5WKUME	   14Waka Kume Hire	   14Wake Kume Hire	    0	   14Wake Kume Hire	          322	29-jun-2000 09:01:47     	29-jun-2000 09:36:43     	                         	    6cr2772	    6cr2772	    0	    1A

    3WTH	   16<PopsDel>WEATHER	    3MEN	    5HOURS	    9MEN/HOURS	          305	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1I

    1Y	    4Year	    4Year	    0	    4Year	          306	10-nov-1999 15:32:50     	                         	                         	    4load	    0	    0	    1A

